author,place,senti
Huang Tingjian,Wanzhou,0.30 
Huang Tingjian,Wanzai,0.72 
Huang Tingjian,Dongliu,0.50 
Huang Tingjian,Leshan,0.56 
Huang Tingjian,Jiujiang,0.57 
Huang Tingjian,Yizheng,0.83 
Huang Tingjian,Xiushui,0.62 
Huang Tingjian,Nanjing,0.96 
Huang Tingjian,Nanchang,0.78 
Huang Tingjian,Yexian,0.58 
Huang Tingjian,Jian,0.61 
Huang Tingjian,Zhoukou,0.40 
Huang Tingjian,Shangqiu,0.97 
Huang Tingjian,Shanghe,0.63 
Huang Tingjian,Daming,0.55 
Huang Tingjian,Yibin,0.59 
Huang Tingjian,Yizhou,0.65 
Huang Tingjian,Yichang,0.66 
Huang Tingjian,Weishi,0.94 
Huang Tingjian,Yueyang,0.54 
Huang Tingjian,Wushan,0.77 
Huang Tingjian,Kaifeng,0.59 
Huang Tingjian,Dangtu,0.57 
Huang Tingjian,Pengshui,0.74 
Huang Tingjian,Pengze,0.52 
Huang Tingjian,Enshi,0.56 
Huang Tingjian,Yangzhou,0.97 
Huang Tingjian,Xinyu,0.07 
Huang Tingjian,Xingzi,0.73 
Huang Tingjian,Guilin,0.50 
Huang Tingjian,Wuhan,0.46 
Huang Tingjian,Jiangan,0.15 
Huang Tingjian,Jiangxi,0.75 
Huang Tingjian,Jiangling,0.56 
Huang Tingjian,Taihe,0.56 
Huang Tingjian,Lianshui,0.63 
Huang Tingjian,Huaian,0.61 
Huang Tingjian,Qianshan,0.72 
Huang Tingjian,Xuyi,0.54 
Huang Tingjian,Qiyang,0.85 
Huang Tingjian,Wuhu,0.87 
Huang Tingjian,Hengshan,0.65 
Huang Tingjian,Xuchang,0.24 
Huang Tingjian,Guichi,0.51 
Huang Tingjian,Ganzhou,0.58 
Huang Tingjian,Tongcheng,0.52 
Huang Tingjian,Poyang,0.58 
Huang Tingjian,Tongling,0.66 
Huang Tingjian,Changsha,0.57 
Huang Tingjian,Lingling,0.67 
Huang Tingjian,Qingshen,0.36 
Huang Tingjian,Huanggang,0.44 
Ouyang Xiu,Jiujiang,0.59 
Ouyang Xiu,Yunmeng,0.07 
Ouyang Xiu,Jingkou,0.04 
